From File,To File,References,From Entities,To Entities
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Bezier.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPath.java",27,6,10
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPath.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPathIterator.java",4,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPath.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Geom.java",7,5,3
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPath.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/PathCommands.java",9,1,4
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPath.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/PathData.java",3,1,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPath.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Shapes.java",1,1,1
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPathIterator.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPath.java",105,5,9
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierWrapper.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPath.java",1,1,1
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierWrapper.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/PathData.java",3,1,3
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/EjectUserCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/ConferenceCommand.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/GetUsersCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/ConferenceCommand.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/MuteUserCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/ConferenceCommand.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/RecordCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/ConferenceCommand.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/AudioFloorChangedEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/FreeswitchHeartbeatEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/FreeswitchStatusReplyEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
