From File,To File,References,From Entities,To Entities
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/AbbreviationParser.java","/Users/andreseidenglanz/code/seminar/jabref/src/main/java/org/jabref/logic/journals/Abbreviation.java",4,3,2
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/AbbreviationParser.java","/Users/andreseidenglanz/code/seminar/jabref/src/main/java/org/jabref/logic/journals/AbbreviationFormat.java",1,1,1
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/AbbreviationParser.java","/Users/andreseidenglanz/code/seminar/jabref/src/main/java/org/jabref/logic/journals/JournalAbbreviationRepository.java",1,1,1
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/AbbreviationWriter.java","/Users/andreseidenglanz/code/seminar/jabref/src/main/java/org/jabref/logic/journals/Abbreviation.java",6,1,4
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/AbbreviationWriter.java","/Users/andreseidenglanz/code/seminar/jabref/src/main/java/org/jabref/logic/journals/AbbreviationFormat.java",1,1,1
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/JournalAbbreviationLoader.java","/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/JournalAbbreviationPreferences.java",1,1,1
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/JournalAbbreviationLoader.java","/Users/andreseidenglanz/code/seminar/jabref/src/main/java/org/jabref/logic/journals/Abbreviation.java",1,1,1
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/JournalAbbreviationLoader.java","/Users/andreseidenglanz/code/seminar/jabref/src/main/java/org/jabref/logic/journals/AbbreviationParser.java",3,1,3
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/JournalAbbreviationLoader.java","/Users/andreseidenglanz/code/seminar/jabref/src/main/java/org/jabref/logic/journals/JournalAbbreviationPreferences.java",2,2,2
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/JournalAbbreviationLoader.java","/Users/andreseidenglanz/code/seminar/jabref/src/main/java/org/jabref/logic/journals/JournalAbbreviationRepository.java",6,2,3
"/Users/andreseidenglanz/code/seminar/jabref/buildSrc/src/copied/java/org/jabref/logic/journals/JournalAbbreviationRepository.java","/Users/andreseidenglanz/code/seminar/jabref/src/main/java/org/jabref/logic/journals/Abbreviation.java",22,14,6
