From File,To File,References,From Entities,To Entities
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/BaseEJB.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Config.java",5,2,4
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/BaseEJB.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/EJB.java",8,3,5
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/BaseEJB.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/InterfaceDetails.java",9,4,5
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/BaseEJB.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/ProvidedInterface.java",6,2,3
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/BaseEJB.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/RequiredInterface.java",2,2,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/BaseEJB.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IBusinessInterface.java",2,2,1
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/BaseEJB.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/JNDIUtil.java",2,2,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Config.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/EJB.java",3,3,1
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/EJB.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/ProvidedInterface.java",4,4,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/EJB.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/RequiredInterface.java",4,4,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/InterfaceDetails.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/EJB.java",2,2,1
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/InterfaceDetails.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/ProvidedInterface.java",2,2,1
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/InterfaceDetails.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IBusinessInterface.java",3,3,1
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Main.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Config.java",2,1,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Main.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/EJB.java",58,1,5
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Main.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/ProvidedInterface.java",26,1,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Main.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/RequiredInterface.java",14,1,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/ProvidedInterface.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Config.java",1,1,1
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/ProvidedInterface.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/EJB.java",1,1,1
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/RequiredInterface.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/ProvidedInterface.java",3,3,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/AudioFile.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/AudioFileInfo.java",21,20,19
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/AudioFile.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContent.java",2,2,1
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContent.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContentLocal.java",5,1,3
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContent.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContentRemote.java",4,1,3
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContent.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/FSUtil.java",3,2,3
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContentLocal.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContent.java",1,1,1
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContentRemote.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/data/FileContent.java",1,1,1
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/BadLoginDataException.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/AppException.java",2,2,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/ConversionException.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/AppException.java",2,2,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/DbException.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/AppException.java",3,3,3
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/FailedDownloadException.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/AppException.java",2,2,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/FailedUploadException.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/AppException.java",2,2,2
"/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/PropertiesException.java","/Users/andreseidenglanz/code/seminar/MediaStore3/Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/AppException.java",3,3,3
